"item","value"
"data_type","REAL"
"dataset","PhysioNet non-EEG (Birjandtalab 2016), Empatica E4"
"record","Subject1_AccTempEDA"
"sampling_rate_hz","8"
"n_samples","18343"
"reference_tool","NeuroKit2 0.2.13 eda_phasic"
"highpass_phasic_r","0.9568"
"highpass_tonic_r","0.9993"
"overall","PASS (highpass real-data parity)"
"cvxeda_finding","cvxEDA phasic: r=0.65 vs NeuroKit2 cvxEDA (both smooth components: PhysioEDA 65% vs NeuroKit2 64% nonzero); amplitude ratio 3.07. Agreement is high on clean synthetic data (cor ~0.99) and moderate here; differences reflect amplitude scaling and real-EDA complexity, not a definitional swap."
